year,month,day,close,close_lag,close_prev_year
2018,9,5,923.5,928,995.75
2018,9,6,926.5,923.5,997.25
2018,9,7,931.5,926.5,996.5
2018,9,11,917.25,931.25,989.25
2018,9,12,927.5,917.25,983.5
2018,9,13,923,927.5,988.5
2018,9,14,922.75,923,998
2018,9,18,913,921.75,997.5
2018,9,19,923.5,913,997.25
2018,9,20,942.5,923.5,1000.5
2018,9,21,944,942.5,1001.25
2018,9,25,944.5,942.5,1000.25
2018,9,26,945.75,944.5,996.25
2018,9,27,950.5,945.75,999
2018,9,28,945.5,950.5,997.75
2018,10,2,963,955.5,996
2018,10,3,961.5,963,995.75
2018,10,4,960,961.5,998.25
2018,10,5,969,960,1004.75
2018,10,9,963,967.25,1000.25
2018,10,10,951.5,963,1000.75
2018,10,11,958,951.5,1000.75
2018,10,12,963.75,958,1015.5
2018,10,16,977.75,982.5,1014.25
2018,10,17,977,977.75,1010.5
2018,10,18,958.75,977,1011
2018,10,19,952.25,958.75,1014.5
2018,10,23,953.5,953.5,1013
2018,10,24,951.5,953.5,1008.25
2018,10,25,943.75,951.5,1008
2018,10,26,945.75,943.75,1006.5
2018,10,30,936.5,941.25,1008.5
2018,10,31,941,936.5,1007.5
2018,11,1,964.75,941,1010.75
2018,11,2,966.75,964.75,1017
2018,11,6,968.25,968.25,1013.5
2018,11,7,964.25,968.25,1015
2018,11,8,965.75,964.25,1017.5
2018,11,9,970.5,965.75,1011.5
2018,11,13,966.25,969.5,999.25
2018,11,14,973.5,966.25,994
2018,11,15,973.5,973.5,1000.25
2018,11,16,973.25,973.5,998.5
2018,11,20,966.75,959.25,1013.75
2018,11,21,967.75,966.75,1013.5
2018,11,27,964,953.25,1017
2018,11,28,973,964,1017
2018,11,29,968,973,1015.75
2018,11,30,973,968,1013.25
2018,12,4,986.75,983,1020
2018,12,5,987.75,986.75,1024.75
2018,12,6,987,987.75,1021
2018,12,7,992.75,987,1011.75
2018,12,11,993.5,989.25,1006.5
2018,12,12,995.75,993.5,1002
2018,12,13,986.5,995.75,1004.75
2018,12,14,981.75,986.5,999.75
2018,12,18,987,984.25,996.5
2018,12,19,981.5,987,991.75
2018,12,20,975.25,981.5,991.75
2018,12,21,970.75,975.25,991.75
2018,12,26,960.25,971.25,1000
2018,12,27,961,960.25,999.5
2018,12,28,970.5,961,995
2019,1,2,978,970.5,1001.5
2019,1,3,980.75,978,1002.25
2019,1,4,988.5,980.75,1001.5
2019,1,8,988.5,990.5,1002
2019,1,9,993.5,988.5,1001
2019,1,10,980.75,993.5,994.25
2019,1,11,985,980.75,992.5
2019,1,16,972,972.75,1007
2019,1,17,979.25,972,1007
2019,1,18,986.25,979.25,1011
2019,1,22,980.75,986.25,1013.5
2019,1,23,984.25,980.75,1013.25
2019,1,24,983.5,984.25,1015.75
2019,1,25,988.75,983.5,1016.75
2019,1,29,983,986,1015.75
2019,1,30,984.25,983,1018.75
2019,1,31,981.25,984.25,1016.25
2019,2,1,982.25,981.25,1011.75
2019,2,5,984.5,982.75,1000.75
2019,2,6,988.5,984.5,1012
2019,2,7,982.25,988.5,1008.25
2019,2,8,982.75,982.25,1011.75
2019,2,12,987.75,976.5,1014.25
2019,2,13,985.25,987.75,1014.25
2019,2,14,975.25,985.25,1010.75
2019,2,15,979,975.25,1015
2019,2,20,975.75,973.5,1016.5
2019,2,21,980.25,975.75,1016
2019,2,22,980.25,980.25,1015.25
2019,2,26,975.75,980,1018
2019,2,27,976,975.75,1017
2019,2,28,971.75,976,1015.75
2019,3,1,972.5,971.75,1014
2019,3,5,978.5,978.25,1014.75
2019,3,6,967.75,978.5,1022.25
2019,3,7,964,967.75,1022.5
2019,3,8,959.5,964,1022.5
2019,3,12,962.25,955.75,1019
2019,3,13,966,962.25,1024.25
2019,3,14,962.75,966,1013
2019,3,15,970.25,962.75,1014.75
2019,3,19,967.5,967.25,1012.25
2019,3,20,968.25,967.5,1014
2019,3,21,971.75,968.25,1013
2019,3,22,962,971.75,1012.75
2019,3,26,960,964.25,1011.25
2019,3,27,950.75,960,1006.75
2019,3,28,950,950.75,1003.25
2019,3,29,945.75,950,1017.5
2019,4,2,963,955.75,1006.25
2019,4,3,962.5,963,1006.25
2019,4,4,969.75,962.5,994
