year,month,day,close,close_lag,close_prev_year
2019,5,21,878.5,888.5,997.5
2019,5,22,885,878.5,999
2019,5,23,880.75,885,1006.25
2019,5,24,887,880.75,1003
2019,5,29,922.75,910.75,997.5
2019,5,30,937.25,922.75,998.25
2019,5,31,928,937.25,1000.5
2019,6,4,934.5,930,994.25
2019,6,5,924.75,934.5,998.25
2019,6,6,923.5,924.75,996.5
2019,6,7,914.5,923.5,990.5
2019,6,11,920,918.5,976.25
2019,6,12,934.25,920,977.25
2019,6,13,941,934.25,968.5
2019,6,14,946,941,959.25
2019,6,18,957,957,947.75
2019,6,19,951.25,957,936.25
2019,6,20,964.5,951.25,939.25
2019,6,21,952,964.5,930.75
2019,6,25,949.5,957.25,921.75
2019,6,26,942,949.5,917.75
2019,6,27,938.75,942,919.25
2019,6,28,947.75,938.75,915.75
2019,7,2,928.5,936.5,908.75
2019,7,3,938,928.5,906
2019,7,5,924.75,938,900.75
2019,7,9,934.75,927.75,914.75
2019,7,10,942.5,934.75,917.75
2019,7,11,946.5,942.5,903.5
2019,7,12,958.5,946.5,905.25
2019,7,16,936,948.5,904.75
2019,7,17,931,936,909
2019,7,18,930,931,910.75
2019,7,19,948.75,930,916.25
2019,7,23,935.25,937,918.25
2019,7,24,940.5,935.25,926.75
2019,7,25,934.5,940.5,931
2019,7,26,935.75,934.5,927.75
2019,7,30,933.25,939,939.75
2019,7,31,920.5,933.25,961
2019,8,1,903.5,920.5,950.75
2019,8,2,905.75,903.5,949.5
2019,8,6,902,905.25,946
2019,8,7,903,902,955.75
2019,8,8,918.5,903,962.5
2019,8,9,927,918.5,956
2019,8,13,925.25,917,929.75
2019,8,14,915,925.25,936.5
2019,8,15,908.25,915,933
2019,8,16,917.5,908.25,953.25
2019,8,20,906.75,905.5,947.75
2019,8,21,911.75,906.75,945.25
2019,8,22,907,911.75,934.75
2019,8,23,897.25,907,919.5
2019,8,27,897.25,904.25,919
2019,8,28,902.75,897.25,911.75
2019,8,29,904.75,902.75,914.5
2019,8,30,904.5,904.75,908.5
