year,month,day,close,close_lag,close_prev_year
2019,3,12,948.5,942,1009
2019,3,13,952,948.5,1014.25
2019,3,14,948.75,952,1003
2019,3,15,956.5,948.75,1004.75
2019,3,19,953.75,953.25,1002.25
2019,3,20,955,953.75,1004
2019,3,21,958.75,955,1003
2019,3,22,949.75,958.75,1002.75
2019,3,26,947.5,952.5,1001.25
2019,3,27,937.25,947.5,996.75
2019,3,28,937,937.25,993.25
2019,3,29,933.5,937,1009.5
2019,4,2,948.25,943,1000.75
2019,4,3,947.75,948.25,1000.75
2019,4,4,954.75,947.75,988.5
2019,4,5,949,954.75,996
2019,4,9,948,948.25,998.25
2019,4,10,950.5,948,1003.75
2019,4,11,944.5,950.5,1002.5
2019,4,12,943.75,944.5,1000
2019,4,16,937.5,946.5,992.5
2019,4,17,929.5,937.5,994.75
2019,4,18,930.75,929.5,999.5
2019,4,23,915,927.5,993.75
2019,4,24,907.75,915,990
2019,4,25,912,907.75,992
2019,4,26,906.25,912,991
2019,4,30,893.75,899.25,999.5
2019,5,1,892.25,893.75,1006.25
2019,5,2,883.5,892.25,997.75
2019,5,3,883.5,883.5,998.25
2019,5,7,873.25,874.5,983
2019,5,8,872.25,873.25,985.25
2019,5,9,859.25,872.25,981.75
2019,5,10,857.75,859.25,986.75
2019,5,14,879.25,852.75,984.25
2019,5,15,881.5,879.25,984.5
2019,5,16,885.75,881.5,982.75
2019,5,17,868,885.75,980.75
2019,5,21,868.5,878.25,995
2019,5,22,875.25,868.5,997.75
2019,5,23,869.5,875.25,1005
2019,5,24,876,869.5,1001.75
2019,5,29,915.5,901.5,996
2019,5,30,931.75,915.5,997
2019,5,31,921.75,931.75,999.25
2019,6,4,927.75,924,993
2019,6,5,917.75,927.75,997
2019,6,6,916.25,917.75,995.25
2019,6,7,905.5,916.25,989.25
2019,6,11,910.5,909,973.25
2019,6,12,926.25,910.5,975.75
2019,6,13,934,926.25,964.5
2019,6,14,941,934,955.25
2019,6,18,955.75,954.5,943.75
2019,6,19,947.5,955.75,932.25
2019,6,20,960.25,947.5,935.25
2019,6,21,947,960.25,926.75
2019,6,25,944.25,952,917.5
2019,6,26,936.75,944.25,913.5
2019,6,27,931.75,936.75,915.25
2019,6,28,941.5,931.75,911.75
2019,7,2,919.5,928.75,904.75
2019,7,3,929,919.5,901.75
2019,7,5,915.25,929,895
2019,7,9,925.75,918.75,908.5
2019,7,10,934.25,925.75,912.5
2019,7,11,938.5,934.25,895
2019,7,12,952,938.5,896
2019,7,16,927.5,941,896
2019,7,17,922.5,927.5,900.25
2019,7,18,921.25,922.5,902
2019,7,19,940.5,921.25,907.5
2019,7,23,926.25,928.25,909.25
2019,7,24,931,926.25,918
2019,7,25,924.5,931,922.5
